x,y
365,515
533,845
6,455
588,514
455,807
101,718
730,96
415,326
697,798
312,311

Distanze
"0,0 : 0.0"
"0,1 : 370.3"
"0,2 : 363.98"
"0,3 : 223.0"
"0,4 : 305.56"
"0,5 : 333.02"
"0,6 : 555.69"
"0,7 : 195.5"
"0,8 : 436.25"
"0,9 : 210.77"
"1,0 : 370.3"
"1,1 : 0.0"
"1,2 : 655.61"
"1,3 : 335.54"
"1,4 : 86.76"
"1,5 : 450.28"
"1,6 : 774.47"
"1,7 : 532.25"
"1,8 : 170.6"
"1,9 : 577.92"
"2,0 : 363.98"
"2,1 : 655.61"
"2,2 : 0.0"
"2,3 : 584.98"
"2,4 : 570.53"
"2,5 : 279.63"
"2,6 : 808.12"
"2,7 : 428.86"
"2,8 : 771.45"
"2,9 : 338.19"
"3,0 : 223.0"
"3,1 : 335.54"
"3,2 : 584.98"
"3,3 : 0.0"
"3,4 : 321.77"
"3,5 : 528.0"
"3,6 : 441.46"
"3,7 : 255.49"
"3,8 : 304.2"
"3,9 : 342.61"
"4,0 : 305.56"
"4,1 : 86.76"
"4,2 : 570.53"
"4,3 : 321.77"
"4,4 : 0.0"
"4,5 : 365.02"
"4,6 : 762.33"
"4,7 : 482.66"
"4,8 : 242.17"
"4,9 : 516.2"
"5,0 : 333.02"
"5,1 : 450.28"
"5,2 : 279.63"
"5,3 : 528.0"
"5,4 : 365.02"
"5,5 : 0.0"
"5,6 : 884.6"
"5,7 : 502.25"
"5,8 : 601.35"
"5,9 : 458.44"
"6,0 : 555.69"
"6,1 : 774.47"
"6,2 : 808.12"
"6,3 : 441.46"
"6,4 : 762.33"
"6,5 : 884.6"
"6,6 : 0.0"
"6,7 : 390.03"
"6,8 : 702.78"
"6,9 : 470.05"
"7,0 : 195.5"
"7,1 : 532.25"
"7,2 : 428.86"
"7,3 : 255.49"
"7,4 : 482.66"
"7,5 : 502.25"
"7,6 : 390.03"
"7,7 : 0.0"
"7,8 : 549.83"
"7,9 : 104.09"
"8,0 : 436.25"
"8,1 : 170.6"
"8,2 : 771.45"
"8,3 : 304.2"
"8,4 : 242.17"
"8,5 : 601.35"
"8,6 : 702.78"
"8,7 : 549.83"
"8,8 : 0.0"
"8,9 : 620.8"
"9,0 : 210.77"
"9,1 : 577.92"
"9,2 : 338.19"
"9,3 : 342.61"
"9,4 : 516.2"
"9,5 : 458.44"
"9,6 : 470.05"
"9,7 : 104.09"
"9,8 : 620.8"
"9,9 : 0.0"
