x,y
662,478
280,597
602,717
576,772
417,119
518,81
167,88
314,577
515,931
153,6

Distanze
"0,0 : 0.0"
"0,1 : 400.11"
"0,2 : 246.42"
"0,3 : 306.32"
"0,4 : 434.63"
"0,5 : 422.31"
"0,6 : 630.18"
"0,7 : 361.81"
"0,8 : 476.25"
"0,9 : 694.16"
"1,0 : 400.11"
"1,1 : 0.0"
"1,2 : 343.63"
"1,3 : 343.86"
"1,4 : 497.25"
"1,5 : 568.24"
"1,6 : 521.39"
"1,7 : 39.45"
"1,8 : 408.39"
"1,9 : 604.49"
"2,0 : 246.42"
"2,1 : 343.63"
"2,2 : 0.0"
"2,3 : 60.84"
"2,4 : 625.96"
"2,5 : 641.52"
"2,6 : 764.77"
"2,7 : 320.22"
"2,8 : 231.01"
"2,9 : 840.91"
"3,0 : 306.32"
"3,1 : 343.86"
"3,2 : 60.84"
"3,3 : 0.0"
"3,4 : 672.08"
"3,5 : 693.43"
"3,6 : 796.95"
"3,7 : 326.6"
"3,8 : 170.3"
"3,9 : 875.03"
"4,0 : 434.63"
"4,1 : 497.25"
"4,2 : 625.96"
"4,3 : 672.08"
"4,4 : 0.0"
"4,5 : 107.91"
"4,6 : 251.91"
"4,7 : 469.44"
"4,8 : 817.89"
"4,9 : 287.17"
"5,0 : 422.31"
"5,1 : 568.24"
"5,2 : 641.52"
"5,3 : 693.43"
"5,4 : 107.91"
"5,5 : 0.0"
"5,6 : 351.07"
"5,7 : 536.31"
"5,8 : 850.01"
"5,9 : 372.63"
"6,0 : 630.18"
"6,1 : 521.39"
"6,2 : 764.77"
"6,3 : 796.95"
"6,4 : 251.91"
"6,5 : 351.07"
"6,6 : 0.0"
"6,7 : 510.62"
"6,8 : 912.0"
"6,9 : 83.19"
"7,0 : 361.81"
"7,1 : 39.45"
"7,2 : 320.22"
"7,3 : 326.6"
"7,4 : 469.44"
"7,5 : 536.31"
"7,6 : 510.62"
"7,7 : 0.0"
"7,8 : 407.08"
"7,9 : 593.26"
"8,0 : 476.25"
"8,1 : 408.39"
"8,2 : 231.01"
"8,3 : 170.3"
"8,4 : 817.89"
"8,5 : 850.01"
"8,6 : 912.0"
"8,7 : 407.08"
"8,8 : 0.0"
"8,9 : 993.31"
"9,0 : 694.16"
"9,1 : 604.49"
"9,2 : 840.91"
"9,3 : 875.03"
"9,4 : 287.17"
"9,5 : 372.63"
"9,6 : 83.19"
"9,7 : 593.26"
"9,8 : 993.31"
"9,9 : 0.0"
