x,y
354,128
42,429
929,54
679,955
306,112
289,77
277,336
749,712
364,934
39,831

Distanze
"0,0 : 0.0"
"0,1 : 433.53"
"0,2 : 579.74"
"0,3 : 888.57"
"0,4 : 50.6"
"0,5 : 82.62"
"0,6 : 221.79"
"0,7 : 705.04"
"0,8 : 806.06"
"0,9 : 770.35"
"1,0 : 433.53"
"1,1 : 0.0"
"1,2 : 963.01"
"1,3 : 826.1"
"1,4 : 412.53"
"1,5 : 430.02"
"1,6 : 252.73"
"1,7 : 761.54"
"1,8 : 598.92"
"1,9 : 402.01"
"2,0 : 579.74"
"2,1 : 963.01"
"2,2 : 0.0"
"2,3 : 935.04"
"2,4 : 625.69"
"2,5 : 640.41"
"2,6 : 710.37"
"2,7 : 682.18"
"2,8 : 1045.77"
"2,9 : 1181.45"
"3,0 : 888.57"
"3,1 : 826.1"
"3,2 : 935.04"
"3,3 : 0.0"
"3,4 : 921.83"
"3,5 : 960.72"
"3,6 : 738.08"
"3,7 : 252.88"
"3,8 : 315.7"
"3,9 : 651.9"
"4,0 : 50.6"
"4,1 : 412.53"
"4,2 : 625.69"
"4,3 : 921.83"
"4,4 : 0.0"
"4,5 : 38.91"
"4,6 : 225.87"
"4,7 : 745.82"
"4,8 : 824.04"
"4,9 : 766.97"
"5,0 : 82.62"
"5,1 : 430.02"
"5,2 : 640.41"
"5,3 : 960.72"
"5,4 : 38.91"
"5,5 : 0.0"
"5,6 : 259.28"
"5,7 : 784.11"
"5,8 : 860.28"
"5,9 : 794.37"
"6,0 : 221.79"
"6,1 : 252.73"
"6,2 : 710.37"
"6,3 : 738.08"
"6,4 : 225.87"
"6,5 : 259.28"
"6,6 : 0.0"
"6,7 : 603.46"
"6,8 : 604.3"
"6,9 : 549.24"
"7,0 : 705.04"
"7,1 : 761.54"
"7,2 : 682.18"
"7,3 : 252.88"
"7,4 : 745.82"
"7,5 : 784.11"
"7,6 : 603.46"
"7,7 : 0.0"
"7,8 : 444.42"
"7,9 : 719.9"
"8,0 : 806.06"
"8,1 : 598.92"
"8,2 : 1045.77"
"8,3 : 315.7"
"8,4 : 824.04"
"8,5 : 860.28"
"8,6 : 604.3"
"8,7 : 444.42"
"8,8 : 0.0"
"8,9 : 340.93"
"9,0 : 770.35"
"9,1 : 402.01"
"9,2 : 1181.45"
"9,3 : 651.9"
"9,4 : 766.97"
"9,5 : 794.37"
"9,6 : 549.24"
"9,7 : 719.9"
"9,8 : 340.93"
"9,9 : 0.0"
