x,y
115,454
375,18
467,956
70,297
919,744
821,845
212,789
939,975
468,870
495,541

Distanze
"0,0 : 0.0"
"0,1 : 507.64"
"0,2 : 613.11"
"0,3 : 163.32"
"0,4 : 854.7"
"0,5 : 807.04"
"0,6 : 348.76"
"0,7 : 974.89"
"0,8 : 545.59"
"0,9 : 389.83"
"1,0 : 507.64"
"1,1 : 0.0"
"1,2 : 942.5"
"1,3 : 413.36"
"1,4 : 907.2"
"1,5 : 939.6"
"1,6 : 788.04"
"1,7 : 1110.83"
"1,8 : 857.06"
"1,9 : 536.59"
"2,0 : 613.11"
"2,1 : 942.5"
"2,2 : 0.0"
"2,3 : 769.34"
"2,4 : 499.25"
"2,5 : 370.99"
"2,6 : 304.82"
"2,7 : 472.38"
"2,8 : 86.01"
"2,9 : 415.94"
"3,0 : 163.32"
"3,1 : 413.36"
"3,2 : 769.34"
"3,3 : 0.0"
"3,4 : 959.48"
"3,5 : 929.68"
"3,6 : 512.08"
"3,7 : 1102.2"
"3,8 : 697.66"
"3,9 : 490.06"
"4,0 : 854.7"
"4,1 : 907.2"
"4,2 : 499.25"
"4,3 : 959.48"
"4,4 : 0.0"
"4,5 : 140.73"
"4,6 : 708.43"
"4,7 : 231.86"
"4,8 : 468.27"
"4,9 : 470.09"
"5,0 : 807.04"
"5,1 : 939.6"
"5,2 : 370.99"
"5,3 : 929.68"
"5,4 : 140.73"
"5,5 : 0.0"
"5,6 : 611.57"
"5,7 : 175.57"
"5,8 : 353.88"
"5,9 : 445.75"
"6,0 : 348.76"
"6,1 : 788.04"
"6,2 : 304.82"
"6,3 : 512.08"
"6,4 : 708.43"
"6,5 : 611.57"
"6,6 : 0.0"
"6,7 : 750.42"
"6,8 : 268.51"
"6,9 : 376.29"
"7,0 : 974.89"
"7,1 : 1110.83"
"7,2 : 472.38"
"7,3 : 1102.2"
"7,4 : 231.86"
"7,5 : 175.57"
"7,6 : 750.42"
"7,7 : 0.0"
"7,8 : 482.56"
"7,9 : 620.88"
"8,0 : 545.59"
"8,1 : 857.06"
"8,2 : 86.01"
"8,3 : 697.66"
"8,4 : 468.27"
"8,5 : 353.88"
"8,6 : 268.51"
"8,7 : 482.56"
"8,8 : 0.0"
"8,9 : 330.11"
"9,0 : 389.83"
"9,1 : 536.59"
"9,2 : 415.94"
"9,3 : 490.06"
"9,4 : 470.09"
"9,5 : 445.75"
"9,6 : 376.29"
"9,7 : 620.88"
"9,8 : 330.11"
"9,9 : 0.0"
