x,y
969,194
722,8
945,53
308,985
406,894
193,22
703,101
843,784
132,33
529,917

Distanze
"0,0 : 0.0"
"0,1 : 283.82"
"0,2 : 549.26"
"0,3 : 573.38"
"0,4 : 455.44"
"0,5 : 942.61"
"0,6 : 775.21"
"0,7 : 261.84"
"0,8 : 959.19"
"0,9 : 625.41"
"1,0 : 283.82"
"1,1 : 0.0"
"1,2 : 278.87"
"1,3 : 292.06"
"1,4 : 209.51"
"1,5 : 695.51"
"1,6 : 746.28"
"1,7 : 395.79"
"1,8 : 775.47"
"1,9 : 596.93"
"2,0 : 549.26"
"2,1 : 278.87"
"2,2 : 0.0"
"2,3 : 72.86"
"2,4 : 111.04"
"2,5 : 423.24"
"2,6 : 701.0"
"2,7 : 568.02"
"2,8 : 559.43"
"2,9 : 578.73"
"3,0 : 573.38"
"3,1 : 292.06"
"3,2 : 72.86"
"3,3 : 0.0"
"3,4 : 170.46"
"3,5 : 445.25"
"3,6 : 773.85"
"3,7 : 619.86"
"3,8 : 612.64"
"3,9 : 651.12"
"4,0 : 455.44"
"4,1 : 209.51"
"4,2 : 111.04"
"4,3 : 170.46"
"4,4 : 0.0"
"4,5 : 491.44"
"4,6 : 629.67"
"4,7 : 457.07"
"4,8 : 571.69"
"4,9 : 496.23"
"5,0 : 942.61"
"5,1 : 695.51"
"5,2 : 423.24"
"5,3 : 445.25"
"5,4 : 491.44"
"5,5 : 0.0"
"5,6 : 724.0"
"5,7 : 878.78"
"5,8 : 297.02"
"5,9 : 680.24"
"6,0 : 775.21"
"6,1 : 746.28"
"6,2 : 701.0"
"6,3 : 773.85"
"6,4 : 629.67"
"6,5 : 724.0"
"6,6 : 0.0"
"6,7 : 535.24"
"6,8 : 492.47"
"6,9 : 152.9"
"7,0 : 261.84"
"7,1 : 395.79"
"7,2 : 568.02"
"7,3 : 619.86"
"7,4 : 457.07"
"7,5 : 878.78"
"7,6 : 535.24"
"7,7 : 0.0"
"7,8 : 816.21"
"7,9 : 394.66"
"8,0 : 959.19"
"8,1 : 775.47"
"8,2 : 559.43"
"8,3 : 612.64"
"8,4 : 571.69"
"8,5 : 297.02"
"8,6 : 492.47"
"8,7 : 816.21"
"8,8 : 0.0"
"8,9 : 503.8"
"9,0 : 625.41"
"9,1 : 596.93"
"9,2 : 578.73"
"9,3 : 651.12"
"9,4 : 496.23"
"9,5 : 680.24"
"9,6 : 152.9"
"9,7 : 394.66"
"9,8 : 503.8"
"9,9 : 0.0"
