x,y
2,27
95,37
24,46
85,86
79,67
20,38
63,17
56,60
100,58
100,44

Distanze
"0,0 : 0.0"
"0,1 : 93.54"
"0,2 : 29.07"
"0,3 : 101.83"
"0,4 : 86.77"
"0,5 : 21.1"
"0,6 : 61.81"
"0,7 : 63.29"
"0,8 : 102.79"
"0,9 : 99.46"
"1,0 : 93.54"
"1,1 : 0.0"
"1,2 : 71.57"
"1,3 : 50.01"
"1,4 : 34.0"
"1,5 : 75.01"
"1,6 : 37.74"
"1,7 : 45.28"
"1,8 : 21.59"
"1,9 : 8.6"
"2,0 : 29.07"
"2,1 : 71.57"
"2,2 : 0.0"
"2,3 : 72.95"
"2,4 : 58.87"
"2,5 : 8.94"
"2,6 : 48.6"
"2,7 : 34.93"
"2,8 : 76.94"
"2,9 : 76.03"
"3,0 : 101.83"
"3,1 : 50.01"
"3,2 : 72.95"
"3,3 : 0.0"
"3,4 : 19.92"
"3,5 : 80.8"
"3,6 : 72.42"
"3,7 : 38.95"
"3,8 : 31.76"
"3,9 : 44.6"
"4,0 : 86.77"
"4,1 : 34.0"
"4,2 : 58.87"
"4,3 : 19.92"
"4,4 : 0.0"
"4,5 : 65.74"
"4,6 : 52.5"
"4,7 : 24.04"
"4,8 : 22.85"
"4,9 : 31.14"
"5,0 : 21.1"
"5,1 : 75.01"
"5,2 : 8.94"
"5,3 : 80.8"
"5,4 : 65.74"
"5,5 : 0.0"
"5,6 : 47.85"
"5,7 : 42.19"
"5,8 : 82.46"
"5,9 : 80.22"
"6,0 : 61.81"
"6,1 : 37.74"
"6,2 : 48.6"
"6,3 : 72.42"
"6,4 : 52.5"
"6,5 : 47.85"
"6,6 : 0.0"
"6,7 : 43.57"
"6,8 : 55.23"
"6,9 : 45.8"
"7,0 : 63.29"
"7,1 : 45.28"
"7,2 : 34.93"
"7,3 : 38.95"
"7,4 : 24.04"
"7,5 : 42.19"
"7,6 : 43.57"
"7,7 : 0.0"
"7,8 : 44.05"
"7,9 : 46.82"
"8,0 : 102.79"
"8,1 : 21.59"
"8,2 : 76.94"
"8,3 : 31.76"
"8,4 : 22.85"
"8,5 : 82.46"
"8,6 : 55.23"
"8,7 : 44.05"
"8,8 : 0.0"
"8,9 : 14.0"
"9,0 : 99.46"
"9,1 : 8.6"
"9,2 : 76.03"
"9,3 : 44.6"
"9,4 : 31.14"
"9,5 : 80.22"
"9,6 : 45.8"
"9,7 : 46.82"
"9,8 : 14.0"
"9,9 : 0.0"
