x,y
51,53
32,60
98,7
48,57
68,4
19,89
22,73
24,40
5,94
73,88

Distanze
"0,0 : 0.0"
"0,1 : 20.25"
"0,2 : 65.76"
"0,3 : 5.0"
"0,4 : 51.87"
"0,5 : 48.17"
"0,6 : 35.23"
"0,7 : 29.97"
"0,8 : 61.62"
"0,9 : 41.34"
"1,0 : 20.25"
"1,1 : 0.0"
"1,2 : 84.65"
"1,3 : 16.28"
"1,4 : 66.57"
"1,5 : 31.78"
"1,6 : 16.4"
"1,7 : 21.54"
"1,8 : 43.42"
"1,9 : 49.65"
"2,0 : 65.76"
"2,1 : 84.65"
"2,2 : 0.0"
"2,3 : 70.71"
"2,4 : 30.15"
"2,5 : 113.86"
"2,6 : 100.66"
"2,7 : 81.02"
"2,8 : 127.35"
"2,9 : 84.77"
"3,0 : 5.0"
"3,1 : 16.28"
"3,2 : 70.71"
"3,3 : 0.0"
"3,4 : 56.65"
"3,5 : 43.19"
"3,6 : 30.53"
"3,7 : 29.41"
"3,8 : 56.73"
"3,9 : 39.82"
"4,0 : 51.87"
"4,1 : 66.57"
"4,2 : 30.15"
"4,3 : 56.65"
"4,4 : 0.0"
"4,5 : 98.11"
"4,6 : 82.93"
"4,7 : 56.85"
"4,8 : 109.86"
"4,9 : 84.15"
"5,0 : 48.17"
"5,1 : 31.78"
"5,2 : 113.86"
"5,3 : 43.19"
"5,4 : 98.11"
"5,5 : 0.0"
"5,6 : 16.28"
"5,7 : 49.25"
"5,8 : 14.87"
"5,9 : 54.01"
"6,0 : 35.23"
"6,1 : 16.4"
"6,2 : 100.66"
"6,3 : 30.53"
"6,4 : 82.93"
"6,5 : 16.28"
"6,6 : 0.0"
"6,7 : 33.06"
"6,8 : 27.02"
"6,9 : 53.16"
"7,0 : 29.97"
"7,1 : 21.54"
"7,2 : 81.02"
"7,3 : 29.41"
"7,4 : 56.85"
"7,5 : 49.25"
"7,6 : 33.06"
"7,7 : 0.0"
"7,8 : 57.25"
"7,9 : 68.59"
"8,0 : 61.62"
"8,1 : 43.42"
"8,2 : 127.35"
"8,3 : 56.73"
"8,4 : 109.86"
"8,5 : 14.87"
"8,6 : 27.02"
"8,7 : 57.25"
"8,8 : 0.0"
"8,9 : 68.26"
"9,0 : 41.34"
"9,1 : 49.65"
"9,2 : 84.77"
"9,3 : 39.82"
"9,4 : 84.15"
"9,5 : 54.01"
"9,6 : 53.16"
"9,7 : 68.59"
"9,8 : 68.26"
"9,9 : 0.0"
