x,y
97,54
28,22
34,64
5,91
36,90
34,17
6,60
9,100
78,53
56,82

Distanze
"0,0 : 0.0"
"0,1 : 67.96"
"0,2 : 61.98"
"0,3 : 47.76"
"0,4 : 98.51"
"0,5 : 47.68"
"0,6 : 100.45"
"0,7 : 23.09"
"0,8 : 105.85"
"0,9 : 58.42"
"1,0 : 67.96"
"1,1 : 0.0"
"1,2 : 48.17"
"1,3 : 91.68"
"1,4 : 49.09"
"1,5 : 30.68"
"1,6 : 46.52"
"1,7 : 46.1"
"1,8 : 87.24"
"1,9 : 107.35"
"2,0 : 61.98"
"2,1 : 48.17"
"2,2 : 0.0"
"2,3 : 56.4"
"2,4 : 42.54"
"2,5 : 23.6"
"2,6 : 47.2"
"2,7 : 42.95"
"2,8 : 47.01"
"2,9 : 71.59"
"3,0 : 47.76"
"3,1 : 91.68"
"3,2 : 56.4"
"3,3 : 0.0"
"3,4 : 98.74"
"3,5 : 61.4"
"3,6 : 103.6"
"3,7 : 52.35"
"3,8 : 82.15"
"3,9 : 15.81"
"4,0 : 98.51"
"4,1 : 49.09"
"4,2 : 42.54"
"4,3 : 98.74"
"4,4 : 0.0"
"4,5 : 51.04"
"4,6 : 7.07"
"4,7 : 76.06"
"4,8 : 50.0"
"4,9 : 113.6"
"5,0 : 47.68"
"5,1 : 30.68"
"5,2 : 23.6"
"5,3 : 61.4"
"5,4 : 51.04"
"5,5 : 0.0"
"5,6 : 52.77"
"5,7 : 25.02"
"5,8 : 70.04"
"5,9 : 77.18"
"6,0 : 100.45"
"6,1 : 46.52"
"6,2 : 47.2"
"6,3 : 103.6"
"6,4 : 7.07"
"6,5 : 52.77"
"6,6 : 0.0"
"6,7 : 77.65"
"6,8 : 57.01"
"6,9 : 118.7"
"7,0 : 23.09"
"7,1 : 46.1"
"7,2 : 42.95"
"7,3 : 52.35"
"7,4 : 76.06"
"7,5 : 25.02"
"7,6 : 77.65"
"7,7 : 0.0"
"7,8 : 89.36"
"7,9 : 66.71"
"8,0 : 105.85"
"8,1 : 87.24"
"8,2 : 47.01"
"8,3 : 82.15"
"8,4 : 50.0"
"8,5 : 70.04"
"8,6 : 57.01"
"8,7 : 89.36"
"8,8 : 0.0"
"8,9 : 92.76"
"9,0 : 58.42"
"9,1 : 107.35"
"9,2 : 71.59"
"9,3 : 15.81"
"9,4 : 113.6"
"9,5 : 77.18"
"9,6 : 118.7"
"9,7 : 66.71"
"9,8 : 92.76"
"9,9 : 0.0"
