x,y
20,8
19,33
29,40
37,47
0,39
13,4
8,45
22,4
47,12
35,23

Distanze
"0,0 : 0.0"
"0,1 : 56.08"
"0,2 : 35.36"
"0,3 : 9.22"
"0,4 : 21.21"
"0,5 : 26.4"
"0,6 : 32.2"
"0,7 : 39.0"
"0,8 : 47.54"
"0,9 : 25.08"
"1,0 : 56.08"
"1,1 : 0.0"
"1,2 : 22.47"
"1,3 : 55.32"
"1,4 : 35.0"
"1,5 : 31.4"
"1,6 : 24.04"
"1,7 : 22.14"
"1,8 : 18.03"
"1,9 : 32.8"
"2,0 : 35.36"
"2,1 : 22.47"
"2,2 : 0.0"
"2,3 : 33.24"
"2,4 : 16.12"
"2,5 : 9.22"
"2,6 : 5.39"
"2,7 : 5.39"
"2,8 : 13.04"
"2,9 : 10.63"
"3,0 : 9.22"
"3,1 : 55.32"
"3,2 : 33.24"
"3,3 : 0.0"
"3,4 : 22.47"
"3,5 : 24.04"
"3,6 : 31.4"
"3,7 : 35.81"
"3,8 : 44.1"
"3,9 : 22.63"
"4,0 : 21.21"
"4,1 : 35.0"
"4,2 : 16.12"
"4,3 : 22.47"
"4,4 : 0.0"
"4,5 : 9.85"
"4,6 : 11.7"
"4,7 : 21.0"
"4,8 : 29.15"
"4,9 : 9.43"
"5,0 : 26.4"
"5,1 : 31.4"
"5,2 : 9.22"
"5,3 : 24.04"
"5,4 : 9.85"
"5,5 : 0.0"
"5,6 : 8.25"
"5,7 : 12.65"
"5,8 : 21.19"
"5,9 : 1.41"
"6,0 : 32.2"
"6,1 : 24.04"
"6,2 : 5.39"
"6,3 : 31.4"
"6,4 : 11.7"
"6,5 : 8.25"
"6,6 : 0.0"
"6,7 : 10.77"
"6,8 : 18.03"
"6,9 : 9.49"
"7,0 : 39.0"
"7,1 : 22.14"
"7,2 : 5.39"
"7,3 : 35.81"
"7,4 : 21.0"
"7,5 : 12.65"
"7,6 : 10.77"
"7,7 : 0.0"
"7,8 : 8.54"
"7,9 : 13.93"
"8,0 : 47.54"
"8,1 : 18.03"
"8,2 : 13.04"
"8,3 : 44.1"
"8,4 : 29.15"
"8,5 : 21.19"
"8,6 : 18.03"
"8,7 : 8.54"
"8,8 : 0.0"
"8,9 : 22.47"
"9,0 : 25.08"
"9,1 : 32.8"
"9,2 : 10.63"
"9,3 : 22.63"
"9,4 : 9.43"
"9,5 : 1.41"
"9,6 : 9.49"
"9,7 : 13.93"
"9,8 : 22.47"
"9,9 : 0.0"
